Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
11 14 2016,8:30 pm,MIA,90,SAS,94,Box Score,,18418,
11 14 2016,9:00 pm,MEM,102,UTA,96,Box Score,,18176,
11 15 2016,7:00 pm,TOR,117,CLE,121,Box Score,,20562,
11 15 2016,10:30 pm,BKN,118,LAL,125,Box Score,,18426,
11 15 2016,7:30 pm,ATL,93,MIA,90,Box Score,,19600,
11 15 2016,8:00 pm,CHA,115,MIN,108,Box Score,,10349,
11 15 2016,10:00 pm,CHI,113,POR,88,Box Score,,19393,
11 16 2016,7:30 pm,MIL,100,ATL,107,Box Score,,14656,
11 16 2016,7:30 pm,DAL,83,BOS,90,Box Score,,18624,
11 16 2016,9:00 pm,PHX,104,DEN,120,Box Score,,10247,
11 16 2016,7:00 pm,CLE,93,IND,103,Box Score,,17022,
11 16 2016,10:30 pm,MEM,111,LAC,107,Box Score,,19060,
11 16 2016,7:30 pm,DET,102,NYK,105,Box Score,,19812,
11 16 2016,8:00 pm,HOU,103,OKC,105,Box Score,,18203,
11 16 2016,7:00 pm,NOP,82,ORL,89,Box Score,,16127,
11 16 2016,7:00 pm,WAS,102,PHI,109,Box Score,,14863,
11 16 2016,10:30 pm,SAS,110,SAC,105,Box Score,,17608,
11 16 2016,8:00 pm,GSW,127,TOR,121,Box Score,,21050,
11 17 2016,8:00 pm,POR,109,HOU,126,Box Score,,15550,
11 17 2016,7:30 pm,MIL,73,MIA,96,Box Score,,19600,
11 17 2016,8:00 pm,PHI,86,MIN,110,Box Score,,16866,
11 17 2016,10:30 pm,CHI,85,UTA,77,Box Score,,19911,
11 17 2016,7:00 pm,NYK,112,WAS,119,Box Score,,16704,
11 18 2016,8:00 pm,GSW,104,BOS,88,Box Score,,18624,
11 18 2016,7:00 pm,ATL,96,CHA,100,Box Score,,17989,
11 18 2016,7:30 pm,DET,81,CLE,104,Box Score,,20562,
