G,Date,,,▲,,Opponent,,,Tm,Opp,W,L,Streak,Notes
27,Fri Dec 15 2017,8:00p ET,,Box Score,,Chicago Bulls,L,,109,115,15,12,L 2,
28,Sat Dec 16 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,111,115,15,13,L 3,
29,Tue Dec 19 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,119,116,16,13,W 1,
30,Fri Dec 22 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,109,104,17,13,W 2,
31,Sat Dec 23 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,106,111,17,14,L 1,
32,Tue Dec 26 2017,8:00p ET,,Box Score,,Chicago Bulls,L,,106,115,17,15,L 2,
33,Thu Dec 28 2017,8:00p ET,,Box Score,,Minnesota Timberwolves,W,,102,96,18,15,W 1,
34,Fri Dec 29 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,97,95,19,15,W 2,
35,Mon Jan 1 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,OT,127,131,19,16,L 1,
36,Wed Jan 3 2018,8:00p ET,,Box Score,,Indiana Pacers,W,,122,101,20,16,W 1,
37,Fri Jan 5 2018,8:00p ET,,Box Score,,Toronto Raptors,L,,110,129,20,17,L 1,
38,Sat Jan 6 2018,8:00p ET,,Box Score,@,Washington Wizards,W,,110,103,21,17,W 1,
39,Mon Jan 8 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,96,109,21,18,L 1,
40,Wed Jan 10 2018,8:00p ET,,Box Score,,Orlando Magic,W,,110,103,22,18,W 1,
41,Fri Jan 12 2018,8:00p ET,,Box Score,,Golden State Warriors,L,,94,108,22,19,L 1,
42,Sun Jan 14 2018,1:00p ET,,Box Score,@,Miami Heat,L,,79,97,22,20,L 2,
43,Mon Jan 15 2018,2:00p ET,,Box Score,@,Washington Wizards,W,,104,95,23,20,W 1,
44,Wed Jan 17 2018,8:00p ET,,Box Score,,Miami Heat,L,,101,106,23,21,L 1,
45,Sat Jan 20 2018,7:30p ET,,Box Score,@,Philadelphia 76ers,L,,94,116,23,22,L 2,
46,Mon Jan 22 2018,8:00p ET,,Box Score,,Phoenix Suns,W,,109,105,24,22,W 1,
47,Fri Jan 26 2018,8:00p ET,,Box Score,,Brooklyn Nets,W,,116,91,25,22,W 2,
48,Sun Jan 28 2018,3:30p ET,,Box Score,@,Chicago Bulls,W,,110,96,26,22,W 3,
49,Mon Jan 29 2018,8:00p ET,,Box Score,,Philadelphia 76ers,W,,107,95,27,22,W 4,
50,Thu Feb 1 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,89,108,27,23,L 1,
51,Fri Feb 2 2018,8:00p ET,,Box Score,,New York Knicks,W,,92,90,28,23,W 1,
52,Sun Feb 4 2018,12:00p ET,,Box Score,@,Brooklyn Nets,W,,109,94,29,23,W 2,
53,Tue Feb 6 2018,7:30p ET,,Box Score,@,New York Knicks,W,,103,89,30,23,W 3,
54,Fri Feb 9 2018,8:00p ET,,Box Score,@,Miami Heat,L,,85,91,30,24,L 1,
55,Sat Feb 10 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,111,104,31,24,W 1,
56,Tue Feb 13 2018,8:00p ET,,Box Score,,Atlanta Hawks,W,,97,92,32,24,W 2,
57,Thu Feb 15 2018,8:00p ET,,Box Score,,Denver Nuggets,L,,123,134,32,25,L 1,
58,Fri Feb 23 2018,7:30p ET,,Box Score,@,Toronto Raptors,W,OT,122,119,33,25,W 1,
59,Sun Feb 25 2018,3:00p ET,,Box Score,,New Orleans Pelicans,L,OT,121,123,33,26,L 1,
60,Tue Feb 27 2018,8:00p ET,,Box Score,,Washington Wizards,L,,104,107,33,27,L 2,
61,Wed Feb 28 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,87,110,33,28,L 3,
62,Fri Mar 2 2018,8:00p ET,,Box Score,,Indiana Pacers,L,,96,103,33,29,L 4,
63,Sun Mar 4 2018,8:00p ET,,Box Score,,Philadelphia 76ers,W,,118,110,34,29,W 1,
64,Mon Mar 5 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,89,92,34,30,L 1,
65,Wed Mar 7 2018,8:00p ET,,Box Score,,Houston Rockets,L,,99,110,34,31,L 2,
66,Fri Mar 9 2018,8:00p ET,,Box Score,,New York Knicks,W,,120,112,35,31,W 1,
67,Mon Mar 12 2018,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,121,103,36,31,W 2,
68,Wed Mar 14 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,117,126,36,32,L 1,
69,Sat Mar 17 2018,6:00p ET,,Box Score,,Atlanta Hawks,W,,122,117,37,32,W 1,
70,Mon Mar 19 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,117,124,37,33,L 1,
71,Wed Mar 21 2018,8:00p ET,,Box Score,,Los Angeles Clippers,L,,120,127,37,34,L 2,
72,Fri Mar 23 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,118,105,38,34,W 1,
73,Sun Mar 25 2018,3:30p ET,,Box Score,,San Antonio Spurs,W,,106,103,39,34,W 2,
74,Tue Mar 27 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,98,105,39,35,L 1,
75,Thu Mar 29 2018,10:30p ET,,Box Score,@,Golden State Warriors,W,,116,107,40,35,W 1,
76,Fri Mar 30 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,W,OT,124,122,41,35,W 2,
77,Sun Apr 1 2018,8:00p ET,,Box Score,@,Denver Nuggets,L,OT,125,128,41,36,L 1,
78,Tue Apr 3 2018,8:00p ET,,Box Score,,Boston Celtics,W,,106,102,42,36,W 1,
79,Thu Apr 5 2018,8:00p ET,,Box Score,,Brooklyn Nets,L,,111,119,42,37,L 1,
80,Sat Apr 7 2018,7:30p ET,,Box Score,@,New York Knicks,W,,115,102,43,37,W 1,
81,Mon Apr 9 2018,8:00p ET,,Box Score,,Orlando Magic,W,,102,86,44,37,W 2,
82,Wed Apr 11 2018,8:00p ET,,Box Score,@,Philadelphia 76ers,L,,95,130,44,38,L 1,
