G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Wed Feb 14 2018,7:00p ET,,Box Score,,Atlanta Hawks,W,,104,98,28,29,W 1,
58,Fri Feb 23 2018,7:00p ET,,Box Score,,Boston Celtics,L,,98,110,28,30,L 1,
59,Sun Feb 25 2018,1:00p ET,,Box Score,@,Charlotte Hornets,L,,98,114,28,31,L 2,
60,Mon Feb 26 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,94,123,28,32,L 3,
61,Wed Feb 28 2018,7:00p ET,,Box Score,,Milwaukee Bucks,W,,110,87,29,32,W 1,
62,Fri Mar 2 2018,7:00p ET,,Box Score,@,Orlando Magic,L,OT,106,115,29,33,L 1,
63,Sat Mar 3 2018,7:30p ET,,Box Score,@,Miami Heat,L,,96,105,29,34,L 2,
64,Mon Mar 5 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,90,112,29,35,L 3,
65,Wed Mar 7 2018,8:00p ET,,Box Score,,Toronto Raptors,L,OT,119,121,29,36,L 4,
66,Fri Mar 9 2018,7:00p ET,,Box Score,,Chicago Bulls,W,,99,83,30,36,W 1,
67,Tue Mar 13 2018,9:00p ET,,Box Score,@,Utah Jazz,L,,79,110,30,37,L 1,
68,Thu Mar 15 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,113,120,30,38,L 2,
69,Sat Mar 17 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,87,100,30,39,L 3,
70,Mon Mar 19 2018,10:00p ET,,Box Score,@,Sacramento Kings,W,,106,90,31,39,W 1,
71,Tue Mar 20 2018,10:00p ET,,Box Score,@,Phoenix Suns,W,,115,88,32,39,W 2,
72,Thu Mar 22 2018,8:00p ET,,Box Score,@,Houston Rockets,L,OT,96,100,32,40,L 1,
73,Sat Mar 24 2018,7:00p ET,,Box Score,,Chicago Bulls,W,,117,95,33,40,W 1,
74,Mon Mar 26 2018,7:00p ET,,Box Score,,Los Angeles Lakers,W,,112,106,34,40,W 2,
75,Thu Mar 29 2018,7:00p ET,,Box Score,,Washington Wizards,W,,103,92,35,40,W 3,
76,Sat Mar 31 2018,5:00p ET,,Box Score,@,New York Knicks,W,,115,109,36,40,W 4,
77,Sun Apr 1 2018,6:00p ET,,Box Score,@,Brooklyn Nets,W,,108,96,37,40,W 5,
78,Wed Apr 4 2018,7:00p ET,,Box Score,,Philadelphia 76ers,L,,108,115,37,41,L 1,
79,Fri Apr 6 2018,7:00p ET,,Box Score,,Dallas Mavericks,W,OT,113,106,38,41,W 1,
80,Sun Apr 8 2018,3:30p ET,,Box Score,@,Memphis Grizzlies,L,,117,130,38,42,L 1,
81,Mon Apr 9 2018,7:00p ET,,Box Score,,Toronto Raptors,L,,98,108,38,43,L 2,
82,Wed Apr 11 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,119,87,39,43,W 1,
