G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
72,Thu Mar 22 2018,7:00p ET,,Box Score,@,Charlotte Hornets,L,,79,140,19,53,L 3,
73,Sat Mar 24 2018,8:00p ET,,Box Score,,Los Angeles Lakers,L,,93,100,19,54,L 4,
74,Mon Mar 26 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,101,93,20,54,W 1,
75,Wed Mar 28 2018,8:00p ET,,Box Score,,Portland Trail Blazers,W,,108,103,21,54,W 2,
76,Fri Mar 30 2018,9:00p ET,,Box Score,@,Utah Jazz,L,,97,107,21,55,L 1,
77,Sun Apr 1 2018,9:00p ET,,Box Score,@,Portland Trail Blazers,L,,98,113,21,56,L 2,
78,Wed Apr 4 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,95,123,21,57,L 3,
79,Fri Apr 6 2018,8:00p ET,,Box Score,,Sacramento Kings,L,,93,94,21,58,L 4,
80,Sun Apr 8 2018,3:30p ET,,Box Score,,Detroit Pistons,W,,130,117,22,58,W 1,
81,Mon Apr 9 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,94,113,22,59,L 1,
82,Wed Apr 11 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,123,137,22,60,L 2,
