G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
47,Fri Jan 26 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,113,115,34,13,L 1,
48,Sun Jan 28 2018,3:30p ET,,Box Score,,Phoenix Suns,W,,113,102,35,13,W 1,
49,Tue Jan 30 2018,8:00p ET,,Box Score,,Orlando Magic,W,,114,107,36,13,W 2,
50,Thu Feb 1 2018,8:00p ET,,Box Score,@,San Antonio Spurs,W,,102,91,37,13,W 3,
51,Sat Feb 3 2018,8:30p ET,,Box Score,@,Cleveland Cavaliers,W,,120,88,38,13,W 4,
52,Tue Feb 6 2018,7:30p ET,,Box Score,@,Brooklyn Nets,W,,123,113,39,13,W 5,
53,Wed Feb 7 2018,7:30p ET,,Box Score,@,Miami Heat,W,,109,101,40,13,W 6,
54,Fri Feb 9 2018,8:00p ET,,Box Score,,Denver Nuggets,W,,130,104,41,13,W 7,
55,Sun Feb 11 2018,7:00p ET,,Box Score,,Dallas Mavericks,W,,104,97,42,13,W 8,
56,Tue Feb 13 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,126,108,43,13,W 9,
57,Wed Feb 14 2018,8:00p ET,,Box Score,,Sacramento Kings,W,,100,91,44,13,W 10,
58,Fri Feb 23 2018,8:00p ET,,Box Score,,Minnesota Timberwolves,W,,120,102,45,13,W 11,
59,Sun Feb 25 2018,8:00p ET,,Box Score,@,Denver Nuggets,W,,119,114,46,13,W 12,
60,Mon Feb 26 2018,9:00p ET,,Box Score,@,Utah Jazz,W,,96,85,47,13,W 13,
61,Wed Feb 28 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,105,92,48,13,W 14,
62,Sat Mar 3 2018,8:30p ET,,Box Score,,Boston Celtics,W,,123,120,49,13,W 15,
63,Tue Mar 6 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,122,112,50,13,W 16,
64,Wed Mar 7 2018,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,110,99,51,13,W 17,
65,Fri Mar 9 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,105,108,51,14,L 1,
66,Sun Mar 11 2018,7:00p ET,,Box Score,@,Dallas Mavericks,W,,105,82,52,14,W 1,
67,Mon Mar 12 2018,8:00p ET,,Box Score,,San Antonio Spurs,W,,109,93,53,14,W 2,
68,Thu Mar 15 2018,8:00p ET,,Box Score,,Los Angeles Clippers,W,,101,96,54,14,W 3,
69,Sat Mar 17 2018,7:00p ET,,Box Score,@,New Orleans Pelicans,W,,107,101,55,14,W 4,
70,Sun Mar 18 2018,7:00p ET,,Box Score,@,Minnesota Timberwolves,W,,129,120,56,14,W 5,
71,Tue Mar 20 2018,10:30p ET,,Box Score,@,Portland Trail Blazers,W,,115,111,57,14,W 6,
72,Thu Mar 22 2018,8:00p ET,,Box Score,,Detroit Pistons,W,OT,100,96,58,14,W 7,
73,Sat Mar 24 2018,8:00p ET,,Box Score,,New Orleans Pelicans,W,,114,91,59,14,W 8,
74,Sun Mar 25 2018,8:00p ET,,Box Score,,Atlanta Hawks,W,,118,99,60,14,W 9,
75,Tue Mar 27 2018,8:00p ET,,Box Score,,Chicago Bulls,W,,118,86,61,14,W 10,
76,Fri Mar 30 2018,8:00p ET,,Box Score,,Phoenix Suns,W,,104,103,62,14,W 11,
77,Sun Apr 1 2018,3:30p ET,,Box Score,@,San Antonio Spurs,L,,83,100,62,15,L 1,
78,Tue Apr 3 2018,8:00p ET,,Box Score,,Washington Wizards,W,,120,104,63,15,W 1,
79,Thu Apr 5 2018,8:00p ET,,Box Score,,Portland Trail Blazers,W,,96,94,64,15,W 2,
80,Sat Apr 7 2018,8:30p ET,,Box Score,,Oklahoma City Thunder,L,,102,108,64,16,L 1,
81,Tue Apr 10 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,105,99,65,16,W 1,
82,Wed Apr 11 2018,10:30p ET,,Box Score,@,Sacramento Kings,L,,83,96,65,17,L 1,
