G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
62,Sun Mar 4 2018,7:00p ET,,Box Score,@,Dallas Mavericks,W,,126,109,36,26,W 8,
63,Tue Mar 6 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,121,116,37,26,W 9,
64,Wed Mar 7 2018,10:00p ET,,Box Score,@,Sacramento Kings,W,,114,101,38,26,W 10,
65,Fri Mar 9 2018,8:00p ET,,Box Score,,Washington Wizards,L,,97,116,38,27,L 1,
66,Sun Mar 11 2018,4:00p ET,,Box Score,,Utah Jazz,L,,99,116,38,28,L 2,
67,Tue Mar 13 2018,8:00p ET,,Box Score,,Charlotte Hornets,W,,119,115,39,28,W 1,
68,Thu Mar 15 2018,8:30p ET,,Box Score,@,San Antonio Spurs,L,,93,98,39,29,L 1,
69,Sat Mar 17 2018,7:00p ET,,Box Score,,Houston Rockets,L,,101,107,39,30,L 2,
70,Sun Mar 18 2018,6:00p ET,,Box Score,,Boston Celtics,W,,108,89,40,30,W 1,
71,Tue Mar 20 2018,8:00p ET,,Box Score,,Dallas Mavericks,W,,115,105,41,30,W 2,
72,Wed Mar 21 2018,8:00p ET,,Box Score,,Indiana Pacers,W,,96,92,42,30,W 3,
73,Thu Mar 22 2018,8:00p ET,,Box Score,,Los Angeles Lakers,W,,128,125,43,30,W 4,
74,Sat Mar 24 2018,8:00p ET,,Box Score,@,Houston Rockets,L,,91,114,43,31,L 1,
75,Tue Mar 27 2018,8:00p ET,,Box Score,,Portland Trail Blazers,L,,103,107,43,32,L 2,
76,Fri Mar 30 2018,8:00p ET,,Box Score,@,Cleveland Cavaliers,L,,102,107,43,33,L 3,
77,Sun Apr 1 2018,6:00p ET,,Box Score,,Oklahoma City Thunder,L,,104,109,43,34,L 4,
78,Wed Apr 4 2018,8:00p ET,,Box Score,,Memphis Grizzlies,W,,123,95,44,34,W 1,
79,Fri Apr 6 2018,10:00p ET,,Box Score,@,Phoenix Suns,W,,122,103,45,34,W 2,
80,Sat Apr 7 2018,8:30p ET,,Box Score,@,Golden State Warriors,W,,126,120,46,34,W 3,
81,Mon Apr 9 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,113,100,47,34,W 4,
82,Wed Apr 11 2018,8:00p ET,,Box Score,,San Antonio Spurs,W,,122,98,48,34,W 5,
