G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
48,Wed Jan 24 2018,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,101,115,18,30,L 2,
49,Fri Jan 26 2018,8:00p ET,,Box Score,,Los Angeles Lakers,L,,103,108,18,31,L 3,
50,Sun Jan 28 2018,3:30p ET,,Box Score,,Milwaukee Bucks,L,,96,110,18,32,L 4,
51,Wed Jan 31 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,108,124,18,33,L 5,
52,Sat Feb 3 2018,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,103,113,18,34,L 6,
53,Mon Feb 5 2018,10:00p ET,,Box Score,@,Sacramento Kings,L,,98,104,18,35,L 7,
54,Fri Feb 9 2018,9:30p ET,,Box Score,,Minnesota Timberwolves,W,,114,113,19,35,W 1,
55,Sat Feb 10 2018,8:00p ET,,Box Score,,Washington Wizards,L,,90,101,19,36,L 1,
56,Mon Feb 12 2018,8:00p ET,,Box Score,,Orlando Magic,W,,105,101,20,36,W 1,
57,Wed Feb 14 2018,8:00p ET,,Box Score,,Toronto Raptors,L,,98,122,20,37,L 1,
58,Thu Feb 22 2018,8:00p ET,,Box Score,,Philadelphia 76ers,L,,115,116,20,38,L 2,
59,Sat Feb 24 2018,9:00p ET,,Box Score,@,Minnesota Timberwolves,L,,104,122,20,39,L 3,
60,Mon Feb 26 2018,7:30p ET,,Box Score,@,Brooklyn Nets,L,,87,104,20,40,L 4,
61,Tue Feb 27 2018,7:00p ET,,Box Score,@,Charlotte Hornets,L,,103,118,20,41,L 5,
62,Fri Mar 2 2018,8:00p ET,,Box Score,,Dallas Mavericks,W,,108,100,21,41,W 1,
63,Mon Mar 5 2018,8:00p ET,,Box Score,,Boston Celtics,L,,89,105,21,42,L 1,
64,Wed Mar 7 2018,8:00p ET,,Box Score,,Memphis Grizzlies,W,,119,110,22,42,W 1,
65,Fri Mar 9 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,83,99,22,43,L 1,
66,Sun Mar 11 2018,3:30p ET,,Box Score,@,Atlanta Hawks,W,,129,122,23,43,W 1,
67,Tue Mar 13 2018,8:00p ET,,Box Score,,Los Angeles Clippers,L,,106,112,23,44,L 1,
68,Thu Mar 15 2018,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,111,110,24,44,W 1,
69,Sat Mar 17 2018,8:00p ET,,Box Score,,Cleveland Cavaliers,L,,109,114,24,45,L 1,
70,Mon Mar 19 2018,7:30p ET,,Box Score,@,New York Knicks,L,,92,110,24,46,L 2,
71,Wed Mar 21 2018,8:00p ET,,Box Score,,Denver Nuggets,L,,102,135,24,47,L 3,
72,Fri Mar 23 2018,8:00p ET,,Box Score,,Milwaukee Bucks,L,,105,118,24,48,L 4,
73,Sat Mar 24 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,95,117,24,49,L 5,
74,Tue Mar 27 2018,8:00p ET,,Box Score,@,Houston Rockets,L,,86,118,24,50,L 6,
75,Thu Mar 29 2018,7:30p ET,,Box Score,@,Miami Heat,L,,92,103,24,51,L 7,
76,Fri Mar 30 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,90,82,25,51,W 1,
77,Sun Apr 1 2018,3:30p ET,,Box Score,,Washington Wizards,W,,113,94,26,51,W 2,
78,Tue Apr 3 2018,8:00p ET,,Box Score,,Charlotte Hornets,W,,120,114,27,51,W 3,
79,Fri Apr 6 2018,7:30p ET,,Box Score,@,Boston Celtics,L,,104,111,27,52,L 1,
80,Sat Apr 7 2018,8:00p ET,,Box Score,,Brooklyn Nets,L,,96,124,27,53,L 2,
81,Mon Apr 9 2018,7:30p ET,,Box Score,@,Brooklyn Nets,L,,105,114,27,54,L 3,
82,Wed Apr 11 2018,8:00p ET,,Box Score,,Detroit Pistons,L,,87,119,27,55,L 4,
