G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
15,Wed Nov 15 2017,10:30p ET,,Box Score,,Philadelphia 76ers,L,,109,115,6,9,L 1,
16,Fri Nov 17 2017,10:30p ET,,Box Score,,Phoenix Suns,L,,113,122,6,10,L 2,
17,Sun Nov 19 2017,9:30p ET,,Box Score,,Denver Nuggets,W,,127,109,7,10,W 1,
18,Tue Nov 21 2017,10:30p ET,,Box Score,,Chicago Bulls,W,,103,94,8,10,W 2,
19,Wed Nov 22 2017,10:30p ET,,Box Score,@,Sacramento Kings,L,,102,113,8,11,L 1,
20,Mon Nov 27 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,115,120,8,12,L 2,
21,Wed Nov 29 2017,10:30p ET,,Box Score,,Golden State Warriors,L,OT,123,127,8,13,L 3,
22,Sat Dec 2 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,100,115,8,14,L 4,
23,Sun Dec 3 2017,9:30p ET,,Box Score,,Houston Rockets,L,,95,118,8,15,L 5,
24,Thu Dec 7 2017,8:00p ET,,Box Score,@,Philadelphia 76ers,W,,107,104,9,15,W 1,
25,Sat Dec 9 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,110,99,10,15,W 2,
26,Tue Dec 12 2017,7:00p ET,,Box Score,@,New York Knicks,L,OT,109,113,10,16,L 1,
27,Thu Dec 14 2017,8:00p ET,,Box Score,@,Cleveland Cavaliers,L,,112,121,10,17,L 2,
28,Mon Dec 18 2017,10:30p ET,,Box Score,,Golden State Warriors,L,OT,114,116,10,18,L 3,
29,Wed Dec 20 2017,8:00p ET,,Box Score,@,Houston Rockets,W,,122,116,11,18,W 1,
30,Fri Dec 22 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,106,113,11,19,L 1,
31,Sat Dec 23 2017,9:30p ET,,Box Score,,Portland Trail Blazers,L,,92,95,11,20,L 2,
32,Mon Dec 25 2017,10:30p ET,,Box Score,,Minnesota Timberwolves,L,,104,121,11,21,L 3,
33,Wed Dec 27 2017,10:30p ET,,Box Score,,Memphis Grizzlies,L,,99,109,11,22,L 4,
34,Fri Dec 29 2017,10:30p ET,,Box Score,,Los Angeles Clippers,L,,106,121,11,23,L 5,
35,Sun Dec 31 2017,7:00p ET,,Box Score,@,Houston Rockets,L,2OT,142,148,11,24,L 6,
36,Mon Jan 1 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,96,114,11,25,L 7,
37,Wed Jan 3 2018,10:30p ET,,Box Score,,Oklahoma City Thunder,L,,96,133,11,26,L 8,
38,Fri Jan 5 2018,10:30p ET,,Box Score,,Charlotte Hornets,L,,94,108,11,27,L 9,
39,Sun Jan 7 2018,9:30p ET,,Box Score,,Atlanta Hawks,W,,132,113,12,27,W 1,
40,Tue Jan 9 2018,10:30p ET,,Box Score,,Sacramento Kings,W,,99,86,13,27,W 2,
41,Thu Jan 11 2018,10:30p ET,,Box Score,,San Antonio Spurs,W,,93,81,14,27,W 3,
42,Sat Jan 13 2018,2:00p ET,,Box Score,@,Dallas Mavericks,W,OT,107,101,15,27,W 4,
43,Mon Jan 15 2018,5:30p ET,,Box Score,@,Memphis Grizzlies,L,,114,123,15,28,L 1,
44,Wed Jan 17 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,90,114,15,29,L 2,
45,Fri Jan 19 2018,10:30p ET,,Box Score,,Indiana Pacers,W,,99,86,16,29,W 1,
46,Sun Jan 21 2018,3:30p ET,,Box Score,,New York Knicks,W,,127,107,17,29,W 2,
47,Tue Jan 23 2018,10:30p ET,,Box Score,,Boston Celtics,W,,108,107,18,29,W 3,
48,Fri Jan 26 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,108,103,19,29,W 4,
49,Sun Jan 28 2018,6:00p ET,,Box Score,@,Toronto Raptors,L,,111,123,19,30,L 1,
50,Wed Jan 31 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,105,127,19,31,L 2,
51,Fri Feb 2 2018,7:30p ET,,Box Score,@,Brooklyn Nets,W,,102,99,20,31,W 1,
52,Sun Feb 4 2018,2:00p ET,,Box Score,@,Oklahoma City Thunder,W,,108,104,21,31,W 2,
53,Tue Feb 6 2018,10:30p ET,,Box Score,,Phoenix Suns,W,,112,93,22,31,W 3,
54,Thu Feb 8 2018,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,106,81,23,31,W 4,
55,Sat Feb 10 2018,8:30p ET,,Box Score,@,Dallas Mavericks,L,,123,130,23,32,L 1,
56,Wed Feb 14 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,117,139,23,33,L 2,
57,Thu Feb 15 2018,9:00p ET,,Box Score,@,Minnesota Timberwolves,L,,111,119,23,34,L 3,
58,Fri Feb 23 2018,10:30p ET,,Box Score,,Dallas Mavericks,W,,124,102,24,34,W 1,
59,Sat Feb 24 2018,10:00p ET,,Box Score,@,Sacramento Kings,W,,113,108,25,34,W 2,
60,Mon Feb 26 2018,7:30p ET,,Box Score,@,Atlanta Hawks,W,,123,104,26,34,W 3,
61,Thu Mar 1 2018,7:30p ET,,Box Score,@,Miami Heat,W,,131,113,27,34,W 4,
62,Sat Mar 3 2018,9:00p ET,,Box Score,@,San Antonio Spurs,W,,116,112,28,34,W 5,
63,Mon Mar 5 2018,10:30p ET,,Box Score,,Portland Trail Blazers,L,,103,108,28,35,L 1,
64,Wed Mar 7 2018,10:30p ET,,Box Score,,Orlando Magic,W,,108,107,29,35,W 1,
65,Fri Mar 9 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,116,125,29,36,L 1,
66,Sun Mar 11 2018,9:00p ET,,Box Score,,Cleveland Cavaliers,W,,127,113,30,36,W 1,
67,Tue Mar 13 2018,10:30p ET,,Box Score,,Denver Nuggets,W,,112,103,31,36,W 2,
68,Wed Mar 14 2018,10:30p ET,,Box Score,@,Golden State Warriors,L,,106,117,31,37,L 1,
69,Fri Mar 16 2018,10:30p ET,,Box Score,,Miami Heat,L,,91,92,31,38,L 2,
70,Mon Mar 19 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,100,110,31,39,L 3,
71,Thu Mar 22 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,125,128,31,40,L 4,
72,Sat Mar 24 2018,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,100,93,32,40,W 1,
73,Mon Mar 26 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,106,112,32,41,L 1,
74,Wed Mar 28 2018,10:30p ET,,Box Score,,Dallas Mavericks,W,,103,93,33,41,W 1,
75,Fri Mar 30 2018,10:30p ET,,Box Score,,Milwaukee Bucks,L,OT,122,124,33,42,L 1,
76,Sun Apr 1 2018,9:30p ET,,Box Score,,Sacramento Kings,L,,83,84,33,43,L 2,
77,Tue Apr 3 2018,9:00p ET,,Box Score,@,Utah Jazz,L,,110,117,33,44,L 3,
78,Wed Apr 4 2018,10:30p ET,,Box Score,,San Antonio Spurs,W,OT,122,112,34,44,W 1,
79,Fri Apr 6 2018,10:30p ET,,Box Score,,Minnesota Timberwolves,L,,96,113,34,45,L 1,
80,Sun Apr 8 2018,6:00p ET,,Box Score,,Utah Jazz,L,,97,112,34,46,L 2,
81,Tue Apr 10 2018,10:30p ET,,Box Score,,Houston Rockets,L,,99,105,34,47,L 3,
82,Wed Apr 11 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,115,100,35,47,W 1,
