G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
22,Sat Dec 2 2017,3:00p ET,,Box Score,,Atlanta Hawks,L,,102,114,8,14,L 1,
23,Mon Dec 4 2017,7:30p ET,,Box Score,@,Atlanta Hawks,W,,110,90,9,14,W 1,
24,Thu Dec 7 2017,10:00p ET,,Box Score,,Oklahoma City Thunder,W,,100,95,10,14,W 2,at Mexico City Mexico
25,Sat Dec 9 2017,6:00p ET,,Box Score,,Miami Heat,L,,89,101,10,15,L 1,at Mexico City Mexico
26,Tue Dec 12 2017,7:30p ET,,Box Score,,Washington Wizards,W,,103,98,11,15,W 1,
27,Thu Dec 14 2017,7:30p ET,,Box Score,,New York Knicks,L,,104,111,11,16,L 1,
28,Fri Dec 15 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,87,120,11,17,L 2,
29,Sun Dec 17 2017,6:00p ET,,Box Score,,Indiana Pacers,L,,97,109,11,18,L 3,
30,Wed Dec 20 2017,7:30p ET,,Box Score,,Sacramento Kings,L,,99,104,11,19,L 4,
31,Fri Dec 22 2017,7:30p ET,,Box Score,,Washington Wizards,W,,119,84,12,19,W 1,
32,Sat Dec 23 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,OT,119,123,12,20,L 1,
33,Tue Dec 26 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,97,109,12,21,L 2,
34,Wed Dec 27 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,113,128,12,22,L 3,
35,Fri Dec 29 2017,8:00p ET,,Box Score,@,Miami Heat,W,,111,87,13,22,W 1,
36,Sun Dec 31 2017,5:30p ET,,Box Score,@,Boston Celtics,L,,105,108,13,23,L 1,
37,Mon Jan 1 2018,7:30p ET,,Box Score,,Orlando Magic,W,,98,95,14,23,W 1,
38,Wed Jan 3 2018,7:30p ET,,Box Score,,Minnesota Timberwolves,W,,98,97,15,23,W 2,
39,Sat Jan 6 2018,6:00p ET,,Box Score,,Boston Celtics,L,,85,87,15,24,L 1,
40,Mon Jan 8 2018,7:30p ET,,Box Score,,Toronto Raptors,L,OT,113,114,15,25,L 2,
41,Wed Jan 10 2018,7:30p ET,,Box Score,,Detroit Pistons,L,,80,114,15,26,L 3,
42,Fri Jan 12 2018,7:30p ET,,Box Score,@,Atlanta Hawks,W,,110,105,16,26,W 1,
43,Sat Jan 13 2018,7:00p ET,,Box Score,@,Washington Wizards,L,OT,113,119,16,27,L 1,
44,Mon Jan 15 2018,3:00p ET,,Box Score,,New York Knicks,L,,104,119,16,28,L 2,
45,Wed Jan 17 2018,7:30p ET,,Box Score,,San Antonio Spurs,L,,95,100,16,29,L 3,
46,Fri Jan 19 2018,7:30p ET,,Box Score,,Miami Heat,W,,101,95,17,29,W 1,
47,Sun Jan 21 2018,4:00p ET,,Box Score,@,Detroit Pistons,W,,101,100,18,29,W 2,
48,Tue Jan 23 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,108,109,18,30,L 1,
49,Fri Jan 26 2018,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,91,116,18,31,L 2,
50,Sat Jan 27 2018,9:00p ET,,Box Score,@,Minnesota Timberwolves,L,,97,111,18,32,L 3,
51,Tue Jan 30 2018,7:30p ET,,Box Score,@,New York Knicks,L,,95,111,18,33,L 4,
52,Wed Jan 31 2018,7:30p ET,,Box Score,,Philadelphia 76ers,W,,116,108,19,33,W 1,
53,Fri Feb 2 2018,7:30p ET,,Box Score,,Los Angeles Lakers,L,,99,102,19,34,L 1,
54,Sun Feb 4 2018,12:00p ET,,Box Score,,Milwaukee Bucks,L,,94,109,19,35,L 2,
55,Tue Feb 6 2018,7:30p ET,,Box Score,,Houston Rockets,L,,113,123,19,36,L 3,
56,Wed Feb 7 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,106,115,19,37,L 4,
57,Sat Feb 10 2018,6:00p ET,,Box Score,,New Orleans Pelicans,L,2OT,128,138,19,38,L 5,
58,Mon Feb 12 2018,7:30p ET,,Box Score,,Los Angeles Clippers,L,,101,114,19,39,L 6,
59,Wed Feb 14 2018,7:30p ET,,Box Score,,Indiana Pacers,L,,103,108,19,40,L 7,
60,Thu Feb 22 2018,7:00p ET,,Box Score,@,Charlotte Hornets,L,,96,111,19,41,L 8,
61,Mon Feb 26 2018,7:30p ET,,Box Score,,Chicago Bulls,W,,104,87,20,41,W 1,
62,Tue Feb 27 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,123,129,20,42,L 1,
63,Thu Mar 1 2018,10:00p ET,,Box Score,@,Sacramento Kings,L,OT,111,116,20,43,L 2,
64,Sun Mar 4 2018,9:00p ET,,Box Score,@,Los Angeles Clippers,L,,120,123,20,44,L 3,
65,Tue Mar 6 2018,10:30p ET,,Box Score,@,Golden State Warriors,L,,101,114,20,45,L 4,
66,Thu Mar 8 2018,7:00p ET,,Box Score,@,Charlotte Hornets,W,,125,111,21,45,W 1,
67,Sun Mar 11 2018,7:30p ET,,Box Score,,Philadelphia 76ers,L,,97,120,21,46,L 1,
68,Tue Mar 13 2018,7:30p ET,,Box Score,,Toronto Raptors,L,,102,116,21,47,L 2,
69,Fri Mar 16 2018,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,116,120,21,48,L 3,
70,Sat Mar 17 2018,7:30p ET,,Box Score,,Dallas Mavericks,W,,114,106,22,48,W 1,
71,Mon Mar 19 2018,7:30p ET,,Box Score,,Memphis Grizzlies,W,,118,115,23,48,W 2,
72,Wed Mar 21 2018,7:30p ET,,Box Score,,Charlotte Hornets,L,,105,111,23,49,L 1,
73,Fri Mar 23 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,112,116,23,50,L 2,
74,Sun Mar 25 2018,1:00p ET,,Box Score,,Cleveland Cavaliers,L,,114,121,23,51,L 3,
75,Wed Mar 28 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,111,104,24,51,W 1,
76,Sat Mar 31 2018,8:00p ET,,Box Score,@,Miami Heat,W,OT,110,109,25,51,W 2,
77,Sun Apr 1 2018,6:00p ET,,Box Score,,Detroit Pistons,L,,96,108,25,52,L 1,
78,Tue Apr 3 2018,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,95,121,25,53,L 2,
79,Thu Apr 5 2018,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,119,111,26,53,W 1,
80,Sat Apr 7 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,124,96,27,53,W 2,
81,Mon Apr 9 2018,7:30p ET,,Box Score,,Chicago Bulls,W,,114,105,28,53,W 3,
82,Wed Apr 11 2018,8:00p ET,,Box Score,@,Boston Celtics,L,,97,110,28,54,L 1,
