G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
32,Tue Dec 19 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,116,119,23,9,L 1,
33,Thu Dec 21 2017,7:00p ET,,Box Score,,Chicago Bulls,W,,115,112,24,9,W 1,
34,Mon Dec 25 2017,3:00p ET,,Box Score,@,Golden State Warriors,L,,92,99,24,10,L 1,
35,Wed Dec 27 2017,10:00p ET,,Box Score,@,Sacramento Kings,L,,95,109,24,11,L 2,
36,Sat Dec 30 2017,8:00p ET,,Box Score,@,Utah Jazz,L,,101,104,24,12,L 3,
37,Tue Jan 2 2018,7:00p ET,,Box Score,,Portland Trail Blazers,W,,127,110,25,12,W 1,
38,Wed Jan 3 2018,8:00p ET,,Box Score,@,Boston Celtics,L,,88,102,25,13,L 1,
39,Sat Jan 6 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,131,127,26,13,W 1,
40,Mon Jan 8 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,99,127,26,14,L 1,
41,Thu Jan 11 2018,8:00p ET,,Box Score,@,Toronto Raptors,L,,99,133,26,15,L 2,
42,Fri Jan 12 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,95,97,26,16,L 3,
43,Mon Jan 15 2018,8:00p ET,,Box Score,,Golden State Warriors,L,,108,118,26,17,L 4,
44,Thu Jan 18 2018,7:00p ET,,Box Score,,Orlando Magic,W,,104,103,27,17,W 1,
45,Sat Jan 20 2018,3:30p ET,,Box Score,,Oklahoma City Thunder,L,,124,148,27,18,L 1,
46,Tue Jan 23 2018,8:00p ET,,Box Score,@,San Antonio Spurs,L,,102,114,27,19,L 2,
47,Fri Jan 26 2018,7:30p ET,,Box Score,,Indiana Pacers,W,,115,108,28,19,W 1,
48,Sun Jan 28 2018,6:00p ET,,Box Score,,Detroit Pistons,W,,121,104,29,19,W 2,
49,Tue Jan 30 2018,8:00p ET,,Box Score,@,Detroit Pistons,L,,114,125,29,20,L 1,
50,Wed Jan 31 2018,7:30p ET,,Box Score,,Miami Heat,W,,91,89,30,20,W 1,
51,Sat Feb 3 2018,8:30p ET,,Box Score,,Houston Rockets,L,,88,120,30,21,L 1,
52,Tue Feb 6 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,98,116,30,22,L 2,
53,Wed Feb 7 2018,8:00p ET,,Box Score,,Minnesota Timberwolves,W,OT,140,138,31,22,W 1,
54,Fri Feb 9 2018,7:30p ET,,Box Score,@,Atlanta Hawks,W,,123,107,32,22,W 2,
55,Sun Feb 11 2018,3:30p ET,,Box Score,@,Boston Celtics,W,,121,99,33,22,W 3,
56,Tue Feb 13 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,120,112,34,22,W 4,
57,Thu Feb 22 2018,8:00p ET,,Box Score,,Washington Wizards,L,,103,110,34,23,L 1,
58,Fri Feb 23 2018,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,112,89,35,23,W 1,
59,Sun Feb 25 2018,3:30p ET,,Box Score,,San Antonio Spurs,L,,94,110,35,24,L 1,
60,Tue Feb 27 2018,7:00p ET,,Box Score,,Brooklyn Nets,W,,129,123,36,24,W 1,
61,Thu Mar 1 2018,8:00p ET,,Box Score,,Philadelphia 76ers,L,,97,108,36,25,L 1,
62,Sat Mar 3 2018,7:30p ET,,Box Score,,Denver Nuggets,L,,117,126,36,26,L 2,
63,Mon Mar 5 2018,7:00p ET,,Box Score,,Detroit Pistons,W,,112,90,37,26,W 1,
64,Wed Mar 7 2018,10:30p ET,,Box Score,@,Denver Nuggets,W,,113,108,38,26,W 2,
65,Fri Mar 9 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,102,116,38,27,L 1,
66,Sun Mar 11 2018,9:00p ET,,Box Score,@,Los Angeles Lakers,L,,113,127,38,28,L 2,
67,Tue Mar 13 2018,10:00p ET,,Box Score,@,Phoenix Suns,W,,129,107,39,28,W 1,
68,Thu Mar 15 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,105,113,39,29,L 1,
69,Sat Mar 17 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,114,109,40,29,W 1,
70,Mon Mar 19 2018,7:00p ET,,Box Score,,Milwaukee Bucks,W,,124,117,41,29,W 2,
71,Wed Mar 21 2018,7:00p ET,,Box Score,,Toronto Raptors,W,,132,129,42,29,W 3,
72,Fri Mar 23 2018,7:30p ET,,Box Score,,Phoenix Suns,W,,120,95,43,29,W 4,
