G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
71,Tue Mar 20 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,93,86,53,18,W 1,
72,Wed Mar 21 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,129,132,53,19,L 1,
73,Fri Mar 23 2018,7:30p ET,,Box Score,,Brooklyn Nets,W,,116,112,54,19,W 1,
74,Sun Mar 25 2018,6:00p ET,,Box Score,,Los Angeles Clippers,L,,106,117,54,20,L 1,
75,Tue Mar 27 2018,7:30p ET,,Box Score,,Denver Nuggets,W,,114,110,55,20,W 1,
76,Sat Mar 31 2018,7:30p ET,,Box Score,@,Boston Celtics,L,,99,110,55,21,L 1,
77,Tue Apr 3 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,106,112,55,22,L 2,
78,Wed Apr 4 2018,8:00p ET,,Box Score,,Boston Celtics,W,,96,78,56,22,W 1,
79,Fri Apr 6 2018,7:30p ET,,Box Score,,Indiana Pacers,W,,92,73,57,22,W 2,
80,Sun Apr 8 2018,6:00p ET,,Box Score,,Orlando Magic,W,,112,101,58,22,W 3,
81,Mon Apr 9 2018,7:00p ET,,Box Score,@,Detroit Pistons,W,,108,98,59,22,W 4,
82,Wed Apr 11 2018,8:00p ET,,Box Score,@,Miami Heat,L,OT,109,116,59,23,L 1,
