DATE TIME AWAY HOME BROADCAST
2018-04-1 3:30PM HOU SAS ABC
2018-04-1 6:00PM OKC NOP NBATV
2018-04-1 9:30PM SAC LAL NBATV
2018-04-3 8:00PM GSW OKC TNT
2018-04-3 10:30PM SAS LAC TNT
2018-04-4 8:00PM BOS TOR ESPN
2018-04-4 10:30PM SAS LAL ESPN
2018-04-5 8:00PM WAS CLE TNT
2018-04-5 10:30PM MIN DEN TNT
2018-04-6 7:00PM CLE PHI NBATV
2018-04-6 10:30PM MIN LAL NBATV
2018-04-7 3:30PM DEN LAC NBATV
2018-04-7 8:30PM OKC HOU ABC
2018-04-8 1:00PM DAL PHI NBATV
2018-04-8 3:30PM DET MEM NBATV
2018-04-8 6:00PM ORL TOR NBATV
2018-04-8 9:00PM GSW PHX NBATV
2018-04-9 7:30PM CLE NYK NBATV
2018-04-9 10:30PM NOP LAC ESPN
2018-04-10 8:00PM BOS WAS TNT
2018-04-10 10:30PM HOU LAL TNT
2018-04-11 8:00PM DEN MIN NBATV
2018-04-11 8:00PM MIL PHI ESPN
2018-04-11 10:30PM UTA POR ESPN
