DATE TIME AWAY HOME BROADCAST
2017-01-3 10:30PM MEM LAL NBATV
2017-01-4 8:00PM CHI CLE ESPN
2017-01-4 10:30PM POR GSW ESPN
2017-01-5 8:00PM OKC HOU TNT
2017-01-5 10:30PM LAL POR TNT
2017-01-6 8:00PM NYK MIL ESPN
2017-01-6 10:30PM MEM GSW ESPN
2017-01-8 8:00PM UTA MEM NBATV
2017-01-10 7:30PM BOS TOR NBATV
2017-01-10 10:30PM MIA GSW NBATV
2017-01-11 8:00PM MEM OKC ESPN
2017-01-11 10:30PM CLE POR ESPN
2017-01-12 3:00PM IND DEN NBATV
2017-01-12 8:00PM CHI NYK TNT
2017-01-12 10:30PM DET GSW TNT
2017-01-13 8:00PM BOS ATL ESPN
2017-01-13 10:30PM DET UTA ESPN
2017-01-14 6:00PM SAS PHX NBATV
2017-01-15 9:00PM CHI MEM ESPN
2017-01-16 1:00PM ATL NYK NBATV
2017-01-16 5:00PM ORL DEN TNT
2017-01-16 10:30PM OKC LAC TNT
2017-01-17 7:30PM HOU MIA NBATV
2017-01-17 10:30PM DEN LAL NBATV
2017-01-18 8:00PM MIL HOU ESPN
2017-01-18 10:30PM OKC GSW ESPN
2017-01-19 8:00PM WAS NYK TNT
2017-01-19 10:30PM MIN LAC TNT
2017-01-20 8:00PM GSW HOU ESPN
2017-01-20 10:30PM IND LAL ESPN
2017-01-21 8:30PM SAS CLE ABC
2017-01-23 8:00PM NYK IND TNT
2017-01-24 7:00PM SAS TOR NBATV
2017-01-25 8:00PM GSW CHA ESPN
2017-01-25 10:30PM LAL POR ESPN
2017-01-26 8:00PM DAL OKC TNT
2017-01-26 10:30PM LAL UTA TNT
2017-01-27 8:00PM HOU PHI ESPN
2017-01-28 8:30PM LAC GSW ABC
2017-01-29 3:30PM OKC CLE ABC
2017-01-29 6:00PM WAS NOP NBATV
2017-01-29 9:00PM GSW POR NBATV
2017-01-30 8:00PM DET BOS TNT
2017-01-30 10:30PM MEM PHX TNT
2017-01-31 8:30PM OKC SAS NBATV
2017-02-1 7:00PM MIN CLE ESPN
2017-02-1 9:30PM CHI OKC ESPN
2017-02-2 8:00PM ATL HOU TNT
2017-02-2 10:30PM GSW LAC TNT
2017-02-3 8:00PM LAL BOS ESPN
2017-02-3 10:30PM DAL POR ESPN
2017-02-4 8:30PM CLE NYK ABC
2017-02-5 2:00PM LAC BOS ABC
2017-02-6 7:00PM CLE WAS TNT
2017-02-6 9:30PM SAS MEM TNT
2017-02-7 8:00PM ORL HOU NBATV
2017-02-8 8:00PM LAC NYK ESPN
2017-02-8 10:30PM CHI GSW ESPN
2017-02-9 8:00PM CLE OKC TNT
2017-02-9 10:30PM BOS POR TNT
2017-02-10 8:00PM IND WAS ESPN
2017-02-10 10:30PM CHI PHX ESPN
2017-02-11 8:30PM GSW OKC ABC
2017-02-12 3:30PM SAS NYK ABC
2017-02-12 6:00PM DET TOR NBATV
2017-02-12 9:00PM NOP SAC NBATV
2017-02-13 8:00PM OKC WAS TNT
2017-02-13 10:30PM ATL POR TNT
2017-02-14 8:00PM CLE MIN NBATV
2017-02-14 10:30PM SAC LAL NBATV
2017-02-15 7:00PM IND CLE ESPN
2017-02-15 9:30PM NYK OKC ESPN
2017-02-16 8:00PM BOS CHI TNT
2017-02-23 8:00PM NYK CLE TNT
2017-02-23 10:30PM LAC GSW TNT
2017-02-24 8:00PM BOS TOR ESPN
2017-02-24 10:30PM SAS LAC ESPN
2017-02-25 5:00PM CHA SAC NBATV
2017-02-25 8:30PM CHI CLE ABC
2017-02-26 3:30PM PHX MIL NBATV
2017-02-26 7:00PM NOP OKC NBATV
2017-02-26 9:30PM CHA LAC NBATV
2017-02-27 7:00PM MIL CLE TNT
2017-02-27 9:30PM IND HOU TNT
2017-02-28 7:00PM GSW WAS NBATV
2017-02-28 10:30PM CHA LAL NBATV
2017-03-1 8:00PM CLE BOS ESPN
2017-03-1 10:30PM HOU LAC ESPN
2017-03-2 8:00PM GSW CHI TNT
2017-03-2 10:30PM OKC POR TNT
2017-03-3 7:00PM CLE ATL ESPN
2017-03-3 9:30PM SAS NOP ESPN
2017-03-4 8:30PM LAC CHI ABC
2017-03-5 3:30PM GSW NYK ABC
2017-03-5 6:00PM UTA SAC NBATV
2017-03-5 8:30PM OKC DAL ESPN
2017-03-6 8:00PM IND CHA TNT
2017-03-6 10:30PM BOS LAC TNT
2017-03-7 8:00PM POR OKC NBATV
2017-03-8 8:00PM DET IND ESPN
2017-03-8 10:30PM BOS GSW ESPN
2017-03-9 8:00PM SAS OKC TNT
2017-03-9 10:30PM LAL PHX TNT
2017-03-10 8:00PM GSW MIN NBATV
2017-03-10 10:30PM WAS SAC NBATV
2017-03-11 8:30PM GSW SAS ABC
2017-03-12 3:30PM CHI BOS ABC
2017-03-12 6:00PM MIA IND NBATV
2017-03-12 9:00PM CLE HOU ESPN
2017-03-13 8:00PM ATL SAS TNT
2017-03-13 10:30PM LAL DEN TNT
2017-03-14 7:00PM DET CLE NBATV
2017-03-14 10:30PM PHI GSW NBATV
2017-03-15 8:00PM POR SAS ESPN
2017-03-15 10:30PM MIL LAC ESPN
2017-03-16 7:00PM UTA CLE NBATV
2017-03-17 8:00PM MIN MIA NBATV
2017-03-18 8:30PM CLE LAC ABC
2017-03-19 6:00PM IND TOR NBATV
2017-03-19 9:30PM CLE LAL NBATV
2017-03-20 8:00PM GSW OKC TNT
2017-03-20 10:30PM NYK LAC TNT
2017-03-21 7:00PM CHI TOR ESPN
2017-03-21 9:30PM SAS MIN ESPN
2017-03-22 8:00PM ATL WAS ESPN
2017-03-22 10:30PM NYK UTA ESPN
2017-03-23 7:30PM TOR MIA NBATV
2017-03-24 8:00PM ATL MIL NBATV
2017-03-25 7:30PM WAS CLE NBATV
2017-03-26 3:30PM OKC HOU ABC
2017-03-26 9:30PM POR LAL NBATV
2017-03-27 8:00PM CLE SAS TNT
2017-03-27 10:30PM NOP UTA TNT
2017-03-28 8:00PM GSW HOU NBATV
2017-03-28 10:30PM WAS LAL NBATV
2017-03-29 7:00PM OKC ORL NBATV
2017-03-29 9:30PM GSW SAS ESPN
2017-03-30 8:00PM CLE CHI TNT
2017-03-30 10:30PM HOU POR TNT
2017-03-31 8:00PM SAS OKC ESPN
2017-03-31 10:30PM HOU GSW ESPN
2017-04-2 1:00PM BOS NYK ABC
2017-04-2 3:30PM UTA SAS ABC
2017-04-2 6:00PM DEN MIA NBATV
2017-04-2 9:00PM HOU PHX NBATV
2017-04-3 7:00PM POR MIN NBATV
2017-04-4 8:00PM MIL OKC ESPN
2017-04-4 10:30PM MIN GSW ESPN
2017-04-5 8:00PM CLE BOS ESPN
2017-04-5 10:30PM DAL LAC ESPN
2017-04-6 8:00PM BOS ATL TNT
2017-04-6 10:30PM MIN POR TNT
2017-04-7 7:30PM ATL CLE NBATV
2017-04-7 10:00PM OKC PHX NBATV
2017-04-8 5:00PM CHI BKN NBATV
2017-04-8 8:30PM LAC SAS ABC
2017-04-9 12:00PM TOR NYK NBATV
2017-04-9 3:30PM CLE ATL NBATV
2017-04-9 6:00PM HOU SAC NBATV
2017-04-9 9:30PM MIN LAL NBATV
2017-04-10 8:00PM WAS DET TNT
2017-04-10 10:30PM HOU LAC TNT
2017-04-11 8:00PM OKC MIN NBATV
2017-04-12 8:00PM ATL IND ESPN
2017-04-12 10:30PM NOP POR ESPN
