Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia 76ers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2016-12-13,10,6,16,11,20
2016-12-14,15,12,20,23,24
2016-12-15,8,11,22,9,9
2016-12-16,11,9,18,16,14
2016-12-17,19,12,35,13,11
2016-12-18,14,11,21,11,25
2016-12-19,12,10,23,8,10
2016-12-20,16,6,19,11,9
2016-12-21,10,10,24,10,19
2016-12-22,14,10,14,16,20
2016-12-23,9,14,15,10,9
2016-12-24,14,10,19,12,18
2016-12-25,10,8,14,8,11
2016-12-26,11,9,12,8,10
2016-12-27,14,12,23,10,17
2016-12-28,13,10,13,8,10
2016-12-29,22,10,16,14,17
2016-12-30,16,6,20,17,9
2016-12-31,17,7,23,9,17
2017-01-01,16,8,14,12,12
2017-01-02,24,9,11,8,14
2017-01-03,12,10,18,13,9
2017-01-04,12,10,32,15,11
2017-01-05,16,10,18,10,34
2017-01-06,31,11,23,12,25
2017-01-07,24,13,36,10,16
2017-01-08,22,8,34,12,22
2017-01-09,12,11,23,26,20
2017-01-10,12,7,21,11,12
2017-01-11,17,6,22,7,23
2017-01-12,12,11,50,11,33
2017-01-13,15,9,28,14,14
2017-01-14,35,13,48,13,19
2017-01-15,22,10,32,18,10
2017-01-16,25,9,30,11,14
2017-01-17,15,9,30,15,12
2017-01-18,11,7,26,8,10
2017-01-19,14,7,62,8,12
2017-01-20,10,8,29,17,12
2017-01-21,20,12,69,10,21
2017-01-22,22,28,35,17,16
2017-01-23,14,11,19,13,7
2017-01-24,15,10,22,11,8
2017-01-25,11,9,57,14,9
2017-01-26,17,8,58,8,22
2017-01-27,15,7,36,12,12
2017-01-28,17,12,73,9,19
2017-01-29,31,8,27,13,15
2017-01-30,24,10,40,9,30
2017-01-31,10,10,44,18,10
2017-02-01,13,8,24,12,14
2017-02-02,16,8,32,14,8
2017-02-03,22,8,31,10,10
2017-02-04,16,12,22,18,22
2017-02-05,17,7,23,13,15
2017-02-06,20,5,19,9,8
2017-02-07,14,8,30,10,11
2017-02-08,10,10,23,11,19
2017-02-09,13,9,29,13,11
2017-02-10,7,10,32,10,21
2017-02-11,14,9,23,24,9
2017-02-12,11,9,45,16,15
2017-02-13,9,7,28,10,16
2017-02-14,17,16,37,10,20
2017-02-15,10,13,26,12,11
2017-02-16,13,11,31,15,14
2017-02-17,10,8,17,8,10
2017-02-18,9,9,17,8,7
2017-02-19,7,10,15,13,9
2017-02-20,8,9,26,12,10
2017-02-21,9,10,26,12,9
2017-02-22,12,8,28,12,12
2017-02-23,17,15,71,17,15
2017-02-24,17,11,39,13,14
2017-02-25,18,10,41,16,8
2017-02-26,13,11,31,14,13
2017-02-27,12,6,25,10,10
2017-02-28,15,7,39,9,10
2017-03-01,13,9,19,11,10
2017-03-02,15,10,19,9,10
2017-03-03,17,8,16,17,26
2017-03-04,35,8,37,20,11
2017-03-05,21,10,20,16,16
2017-03-06,17,9,17,22,8
2017-03-07,29,10,17,15,18
2017-03-08,10,8,11,19,23
2017-03-09,14,10,11,13,11
2017-03-10,10,7,18,17,22
2017-03-11,18,10,17,11,13
2017-03-12,14,13,14,15,24
2017-03-13,10,5,19,13,16
2017-03-14,17,7,14,8,10
2017-03-15,8,6,39,8,11
2017-03-16,10,6,14,12,20
2017-03-17,11,16,14,9,8
2017-03-18,13,8,19,12,15
2017-03-19,11,7,25,11,19
2017-03-20,11,6,15,9,14
2017-03-21,9,8,16,10,12
2017-03-22,11,8,14,9,18
2017-03-23,14,6,15,10,9
2017-03-24,9,5,13,16,18
2017-03-25,14,6,20,78,14
2017-03-26,15,5,14,21,24
2017-03-27,10,7,14,13,18
2017-03-28,12,9,12,12,11
2017-03-29,14,8,21,11,30
2017-03-30,11,14,13,12,13
2017-03-31,9,7,14,15,31
2017-04-01,17,14,20,13,16
2017-04-02,14,7,14,20,25
2017-04-03,11,5,12,17,16
2017-04-04,7,13,14,11,16
2017-04-05,9,12,14,14,16
2017-04-06,14,10,15,31,13
2017-04-07,27,8,14,11,24
2017-04-08,27,8,13,33,16
2017-04-09,46,7,15,19,34
2017-04-10,27,6,15,13,19
2017-04-11,18,8,13,9,25
2017-04-12,21,6,11,14,15
2017-04-13,23,8,16,7,31
2017-04-14,14,6,10,6,18
2017-04-15,14,5,9,9,18
2017-04-16,64,4,10,9,100
2017-04-17,20,4,8,8,35
2017-04-18,20,4,7,6,17
2017-04-19,25,3,9,7,24
2017-04-20,32,4,8,5,63
2017-04-21,18,4,7,7,15
2017-04-22,39,4,6,7,22
2017-04-23,32,4,7,6,91
2017-04-24,22,4,7,6,24
2017-04-25,55,4,8,6,69
2017-04-26,33,3,6,6,12
2017-04-27,40,4,6,6,7
2017-04-28,26,3,6,5,6
2017-04-29,54,3,5,7,7
2017-04-30,13,3,7,6,7
2017-05-01,9,5,6,6,6
